,Abstract,Title
496,"We propose that a strongly interacting particle is a finite region of space to which fields are confined. The confinement is accomplished in a Lorentz-invariant way by endowing the finite region with a constant energy per unit volume, B. We call this finite region a ""bag."" The contained fields may be either fermions or bosons and may have any spin; they may or may not be coupled to one another. Equations of motion and boundary conditions are obtained from a variational principle. The confining region has no dynamical freedom but constrains the fields inside: There are no excitations of the coordinates determining the confining region. The model possesses many desirable features of hadron dynamics: (i) a parton interpretation and presumably Bjorken scaling; the confined fields are free or weakly interacting except close to the boundary; (ii) infinitely rising Regge trajectories as a consequence of the bag's finite extent; (iii) the Hagedorn degeneracy or limiting temperature; (iv) all physical hadrons are singlets under hadronic gauge symmetries. For example, in a theory of fractionally charged, ""colored"" quarks interacting with colored, massless gauge vector gluons, if both quark and gluon fields are confined to the bag, only color-singlet solutions exist. In addition to establishing these general properties, we present complete classical and quantum solutions for free scalars and also for free fermions inside a bag of one space and one time dimension. Both systems have linear mass-squared spectra. We demonstrate PoincarĂŠ invariance at the classical level in any dimension and at the quantum level for the above-mentioned explicit solutions in two dimensions. We discuss the behavior of specific solutions in one and three space dimensions. We also discuss in detail the problem of fermion boundary conditions, which follow only indirectly from the variational principle.",New extended model of hadrons
497,"The primary interactions of low-energy x-rays within condensed matter, viz. photoabsorption and coherent scattering, have been described for photon energies outside the absorption threshold regions by using atomic scattering factors. The atomic scattering factors may be accurately determined from the atomic photoabsorption cross sections using modified Kramers-Kronig dispersion relations. From a synthesis of the currently available experimental data and recent theoretical calculations for photoabsorption, the angle-independent, forward-scattering components of the atomic scattering factors have been thus semiempirically determined and tabulated here for 92 elements and for the region 50-30,000 eV. Atomic scattering factors for all angles of coherent scattering and at the higher photon energies are obtained from these tabulated forward-scattering values by adding a simple angle-dependent form-factor correction. The incoherent scattering contributions that become significant for the light elements at the higher photon energies are similarly determined. The basic x-ray interaction relations that are used in applied x-ray physics are presented here in terms of the atomic scattering factors. The bulk optical constants are also related to the atomic scattering factors. These atomic and optical relations are applied to the detailed calculation of the reflectivity characteristics of a series of practical x-ray mirror, multilayer, and crystal monochromators. Comparisons of the results of this semiempirical, ""atomic-like"" description of x-ray interactions for the low-energy region with those of experiment and ab initio theory are presented.","X-Ray Interactions: Photoabsorption, Scattering, Transmission, and Reflection at E = 50-30,000 eV, Z = 1-92"
498,"A modification of the nudged elastic band method for finding minimum energy paths is presented. One of the images is made to climb up along the elastic band to converge rigorously on the highest saddle point. Also, variable spring constants are used to increase the density of images near the top of the energy barrier to get an improved estimate of the reaction coordinate near the saddle point. Applications to CH<SUB>4</SUB> dissociative adsorption on Ir(111) and H<SUB>2</SUB> on Si(100) using plane wave based density functional theory are presented.",A climbing image nudged elastic band method for finding saddle points and minimum energy paths
499,"We present a new high-quality nucleon-nucleon potential with explicit charge dependence and charge asymmetry, which we designate Argonne $v_{18}$. The model has a charge-independent part with fourteen operator components that is an updated version of the Argonne $v_{14}$ potential. Three additional charge-dependent and one charge-asymmetric operators are added, along with a complete electromagnetic interaction. The potential has been fit directly to the Nijmegen $pp$ and $np$ scattering data base, low-energy $nn$ scattering parameters, and deuteron binding energy. With 40 adjustable parameters it gives a $\chi^{2}$ per datum of 1.09 for 4301 $pp$ and $np$ data in the range 0--350 MeV.",Accurate nucleon-nucleon potential with charge-independence breaking
500,"Recent cosmological observations suggest the existence of a positive cosmological constant /Î with the magnitude Î(G planckv/c<SUP>3</SUP>)~10<SUP>-123</SUP>. This review discusses several aspects of the cosmological constant both from the cosmological (Sections 1-6) and field theoretical (Sections 7-11) perspectives. After a brief introduction to the key issues related to cosmological constant and a historical overview, a summary of the kinematics and dynamics of the standard Friedmann model of the universe is provided. The observational evidence for cosmological constant, especially from the supernova results, and the constraints from the age of the universe, structure formation, Cosmic Microwave Background Radiation (CMBR) anisotropies and a few others are described in detail, followed by a discussion of the theoretical models (quintessence, tachyonic scalar field, /...) from different perspectives. The latter part of the review (Sections 7-11) concentrates on more conceptual and fundamental aspects of the cosmological constant like some alternative interpretations of the cosmological constant, relaxation mechanisms to reduce the cosmological constant to the currently observed value, the geometrical structure of the de Sitter spacetime, thermodynamics of the de Sitter universe and the role of string theory in the cosmological constant problem.",Cosmological constant-the weight of the vacuum
501,We suggest and motivate a precise equivalence between uncompactified 11-dimensional M theory and the N=â limit of the supersymmetric matrix quantum mechanics describing D0 branes. The evidence for the conjecture consists of several correspondences between the two theories. As a consequence of supersymmetry the simple matrix model is rich enough to describe the properties of the entire Fock space of massless well separated particles of the supergravity theory. In one particular kinematic situation the leading large distance interaction of these particles is exactly described by supergravity. The model appears to be a nonperturbative realization of the holographic principle. The membrane states required by M theory are contained as excitations of the matrix model. The membrane world volume is a noncommutative geometry embedded in a noncommutative spacetime.,M theory as a matrix model: A conjecture
502,"Weak and electromagnetic interactions of the leptons are examined under the hypothesis that the weak interactions are mediated by vector bosons. With only an isotopic triplet of leptons coupled to a triplet of vector bosons (two charged decay-intermediaries and the photon) the theory possesses no partial-symmetries. Such symmetries may be established if additional vector bosons or additional leptons are introduced. Since the latter possibility yields a theory disagreeing with experiment, the simplest partially-symmetric model reproducing the observed electromagnetic and weak interactions of leptons requires the existence of at least four vector-boson fields (including the photon). Corresponding partially-conserved quantities suggest leptonic analogues to the conserved quantities associated with strong interactions: strangeness and isobaric spin.",Partial-symmetries of weak interactions
503,"We present a measure of entanglement that can be computed effectively for any mixed state of an arbitrary bipartite system. We show that it does not increase under local manipulations of the system, and use it to obtain a bound on the teleportation capacity and on the distillable entanglement of mixed states.",Computable measure of entanglement
504,"This paper describes the Sloan Digital Sky Survey photometric system, a new five-color (u′ g′ r′ i′ z′) wide-band CCD system with wavelength coverage from 3000 to 11 000 Å. The zero points will be based on an updated version of the spectrophotometric AB<SUB>v</SUB> system. This updated calibration, designated as AB<SUB>95</SUB>, is presented in this paper.",The Sloan Digital Sky Survey Photometric System
505,"The usual interpretation of the quantum theory is self-consistent, but it involves an assumption that cannot be tested experimentally, viz., that the most complete possible specification of an individual system is in terms of a wave function that determines only probable results of actual measurement processes. The only way of investigating the truth of this assumption is by trying to find some other interpretation of the quantum theory in terms of at present ""hidden"" variables, which in principle determine the precise behavior of an individual system, but which are in practice averaged over in measurements of the types that can now be carried out. In this paper and in a subsequent paper, an interpretation of the quantum theory in terms of just such ""hidden"" variables is suggested. It is shown that as long as the mathematical theory retains its present general form, this suggested interpretation leads to precisely the same results for all physical processes as does the usual interpretation. Nevertheless, the suggested interpretation provides a broader conceptual framework than the usual interpretation, because it makes possible a precise and continuous description of all processes, even at the quantum level. This broader conceptual framework allows more general mathematical formulations of the theory than those allowed by the usual interpretation. Now, the usual mathematical formulation seems to lead to insoluble difficulties when it is extrapolated into the domain of distances of the order of 10<SUP>-13</SUP> cm or less. It is therefore entirely possible that the interpretation suggested here may be needed for the resolution of these difficulties. In any case, the mere possibility of such an interpretation proves that it is not necessary for us to give up a precise, rational, and objective description of individual systems at a quantum level of accuracy.","A Suggested Interpretation of the Quantum Theory in Terms of ""Hidden"" Variables. I"
506,"The authors determine best-fitting Euler vectors, closure-fitting Euler vectors, and a new global model (NUVEL-1) describing the geologically current motion between 12 assumed-rigid plates by inverting plate motion data which the authors have compiled, critically analysed, and tested for self-consistency.",Current plate motions.
507,"A semiconductor injection laser that differs in a fundamental way from diode lasers has been demonstrated. It is built out of quantum semiconductor structures that were grown by molecular beam epitaxy and designed by band structure engineering. Electrons streaming down a potential staircase sequentially emit photons at the steps. The steps consist of coupled quantum wells in which population inversion between discrete conduction band excited states is achieved by control of tunneling. A strong narrowing of the emission spectrum, above threshold, provides direct evidence of laser action at a wavelength of 4.2 micrometers with peak powers in excess of 8 milliwatts in pulsed operation. In quantum cascade lasers, the wavelength, entirely determined by quantum confinement, can be tailored from the mid-infrared to the submillimeter wave region in the same heterostructure material.",Quantum Cascade Laser
508,"The short-range, one-band model for electron correlations in a narrow energy band is solved exactly in the one-dimensional case. The ground-state energy, wave function, and the chemical potentials are obtained, and it is found that the ground state exhibits no conductor-insulator transition as the correlation strength is increased.","Absence of Mott Transition in an Exact Solution of the Short-Range, One-Band Model in One Dimension"
509,"Star-formation (SF) processes occurring on the scale of giant molecular clouds (10 to the 6th solar masses and 10 to the 20th cm) or smaller are discussed, reviewing the results of recent theoretical and observational investigations. Topics examined include the origin of stellar masses; bimodal SF; initial mass functions; binary stars, bound clusters, and hierarchical fragmentation; and the efficiency of SF. The properties of molecular clouds and the origin of substructures in molecular clumps are explored in detail, and consideration is given to gravitational collapse and protostars, bipolar outflows from young stellar objects, visible young stellar objects, and the implications for binary-star and planetary-system formation.",Star formation in molecular clouds: observation and theory.
510,"Hard (infinitely hard) and soft (Yukawa) core potentials have been fit to Yale and Livermore phase parameters and low-energy data. The potentials are local and static except that a different one is used for each state of distinct isotopic spin, total spin, and total angular momentum. It is found that neither the short-range behavior of the potentials nor the central-to-tensor ratio in the <SUP>3</SUP>S<SUB>1</SUB>- <SUP>3</SUP>D<SUB>1</SUB> state is well determined by the data. Present data do exclude potentials containing only local central, tensor, and spin-orbit terms. Addition of a quadratic spin-orbit potential such as that used by the Yale group or by Hamada and Johnston helps greatly but is probably not enough to completely reproduce the data. Nevertheless, present day theories which use potentials are not likely to be sensitive to failures due to use of this form.",Local phenomenological nucleon-nucleon potentials
511,"The effective Hamiltonian method for nuclear reactions described in an earlier paper with the same title, part I, is generalized so as to include all possible reaction types, as well as the effects arising from the identity of particles. The principal device employed, as in part I, is the projection operator which selects the open channel components of the wave function. It is found that the formal structure of part I providing a unified description for direct and compound nuclear reactions including the coupled equation description for direct reactions remains valid in this wider context. A Kapur-Peierls expansion may also be readily obtained. The concept of channel radii is not needed nor is any decomposition of the wave function for the system into angular momentum eigenstates required, so that the expressions for transition amplitudes and widths are invariant with respect to the angular momentum coupling scheme. Since the open channels can only be defined in an asymptotic sense, the corresponding projection operators are not unique. As a consequence the projection operator method has a flexibility which in the first place is consonant with the wide range of phenomena which can occur in nuclear reactions and in the second place can effectively exploit an intuitive understanding of the phenomena. Example of projection operators are obtained including one which leads to the Wigner-Eisenbud formalism, another which is appropriate for the stripping reaction, and, finally, one which takes the Pauli exclusion principle into account. Note that explicit representations of the projection operators are not required for the development of general formal results but are necessary if, eventually, quantitative calculations are made.",A unified theory of nuclear reactions. II
512,,Interplanetary Magnetic Field and the Auroral Zones
513,"We present evolutionary models for low mass stars from 0.075 to 1 M_sun for solar-type metallicities [M/H]= 0 and -0.5. The calculations include the most recent interior physics and the latest generation of non-grey atmosphere models. We provide mass-age-color-magnitude relationships for both metallicities. The mass-M_V and mass-M_K relations are in excellent agreement with the empirical relations derived observationally. The theoretical color-magnitude diagrams are compared with the sequences of globular clusters (47 Tucanae) and open clusters (NGC2420 and NGC2477) observed with the Hubble Space Telescope. Comparison is also made with field star sequences in M_V-(V-I), M_K-(I-K) and M_K-(J-K) diagrams. These comparisons show that the most recent improvements performed in low-mass star atmosphere models yield now reliable stellar models in the near-infrared. These models can be used for metallicity, mass, temperature and luminosity calibrations. Uncertainties still remain, however, in the optical spectral region below T_eff ~ 3700K, where predicted (V-I) colors are too blue by 0.5 mag for a given magnitude. The possible origins for such a discrepancy, most likely a missing source of opacity in the optical and the onset of grain formation are examined in detail. Tables 1 to 3 are only available in electronic form at the CDS via anonymous ftp to cdsarc.u-strasbg.fr (130.79.128.5) or via http://cdsweb.u-strasbg.fr/Abstract.html",Evolutionary models for solar metallicity low-mass stars: mass-magnitude relationships and color-magnitude diagrams
514,"The standard Einstein-Maxwell equations in 2+1 spacetime dimensions, with a negative cosmological constant, admit a black hole solution. The 2+1 black hole-characterized by mass, angular momentum, and charge, defined by flux integrals at infinity-is quite similar to its 3+1 counterpart. Anti-de Sitter space appears as a negative energy state separated by a mass gap from the continuous black hole spectrum. Evaluation of the partition function yields that the entropy is equal to twice the perimeter length of the horizon.",Black hole in three-dimensional spacetime
515,"Context: A new reduction of the astrometric data as produced by the Hipparcos mission has been published, claiming accuracies for nearly all stars brighter than magnitude Hp=8 to be better, by up to a factor 4, than in the original catalogue. <BR />Aims: The new Hipparcos astrometric catalogue is checked for the quality of the data and the consistency of the formal errors as well as the possible presence of error correlations. The differences with the earlier publication are explained. <BR />Methods: The internal errors are followed through the reduction process, and the external errors are investigated on the basis of a comparison with radio observations of a small selection of stars, and the distribution of negative parallaxes. Error correlation levels are investigated and the reduction by more than a factor 10 as obtained in the new catalogue is explained. <BR />Results: The formal errors on the parallaxes for the new catalogue are confirmed. The presence of a small amount of additional noise, though unlikely, cannot be ruled out. <BR />Conclusions: The new reduction of the Hipparcos astrometric data provides an improvement by a factor 2.2 in the total weight compared to the catalogue published in 1997, and provides much improved data for a wide range of studies on stellar luminosities and local galactic kinematics.",Validation of the new Hipparcos reduction
516,"Physical and numerical experiments show that deterministic noise, or chaos, is ubiquitous. While a good understanding of the onset of chaos has been achieved, using as a mathematical tool the geometric theory of differentiable dynamical systems, moderately excited chaotic systems require new tools, which are provided by the ergodic theory of dynamical systems. This theory has reached a stage where fruitful contact and exchange with physical experiments has become widespread. The present review is an account of the main mathematical ideas and their concrete implementation in analyzing experiments. The main subjects are the theory of dimensions (number of excited degrees of freedom), entropy (production of information), and characteristic exponents (describing sensitivity to initial conditions). The relations between these quantities, as well as their experimental determination, are discussed. The systematic investigation of these quantities provides us for the first time with a reasonable understanding of dynamical systems, excited well beyond the quasiperiodic regimes. This is another step towards understanding highly turbulent fluids.",Ergodic theory of chaos and strange attractors
517,,A thermodynamic theory of ``weak'' ferromagnetism of antiferromagnetics
518,"In models of fermions coupled to gauge fields certain current-conservation laws are violated by Bell-Jackiw anomalies. In perturbation theory the total charge corresponding to such currents seems to be still conserved, but here it is shown that nonperturbative effects can give rise to interactions that violate the charge conservation. One consequence is baryon and lepton number nonconservation in V-A gauge theories with charm. Another is the nonvanishing mass squared of the Îˇ.",Symmetry Breaking through Bell-Jackiw Anomalies
519,"An unbiased sample of 164 primary G-dwarf stars in the solar neighborhood are studied with the aid of 4200 radial velocities obtained during almost 13 yrs. Several present-day distributions of the orbital elements are derived. For systems with M(2)/M(1) above 0.1 in the nearby G-dwarf sample, the following results are obtained: (1) The orbital period distribution is unimodal and can be approximated by a Gaussian-type relation with a median period of 180 yrs. (2) The short binaries are circularized up to orbital periods of about 11 d due to the tidal evolution effects - a result compatible with the mean age of the Galactic disk. (3) The tight binaries not affected by tidal effects (in the range between 11 and 1000 d) may reflect the initial binary formation process, and they have a mean eccentricity of 0.31 +/-0.04. For systems with M(2)/M(1) not greater than 0.1, the proportion of brown dwarf companions among the IAU velocity standards is estimated at 10 percent of the primaries, a value in good agreement with that found in the G-dwarf sample.",Multiplicity among solar-type stars in the solar neighbourhood. II. Distribution of the orbital elements in an unbiased sample.
520,"The presence of a Jupiter-mass companion to the star 51 Pegasi is inferred from observations of periodic variations in the star's radial velocity. The companion lies only about eight million kilometres from the star, which would be well inside the orbit of Mercury in our Solar System. This object might be a gas-giant planet that has migrated to this location through orbital evolution, or from the radiative stripping of a brown dwarf.",A Jupiter-mass companion to a solar-type star
521,"We present an analysis of the performances of a parameter free density functional model (PBE0) obtained combining the so called PBE generalized gradient functional with a predefined amount of exact exchange. The results obtained for structural, thermodynamic, kinetic and spectroscopic (magnetic, infrared and electronic) properties are satisfactory and not far from those delivered by the most reliable functionals including heavy parameterization. The way in which the functional is derived and the lack of empirical parameters fitted to specific properties make the PBE0 model a widely applicable method for both quantum chemistry and condensed matter physics.",Toward reliable density functional methods without adjustable parameters: The PBE0 model
522,"Solar photospheric and meteoritic CI chondrite abundance determinations for all elements are summarized and the best currently available photospheric abundances are selected. The meteoritic and solar abundances of a few elements (e.g., noble gases, beryllium, boron, phosphorous, sulfur) are discussed in detail. The photospheric abundances give mass fractions of hydrogen (X=0.7491), helium (Y=0.2377), and heavy elements (Z=0.0133), leading to Z/X=0.0177, which is lower than the widely used Z/X=0.0245 from previous compilations. Recent results from standard solar models considering helium and heavy-element settling imply that photospheric abundances and mass fractions are not equal to protosolar abundances (representative of solar system abundances). Protosolar elemental and isotopic abundances are derived from photospheric abundances by considering settling effects. Derived protosolar mass fractions are X<SUB>0</SUB>=0.7110, Y<SUB>0</SUB>=0.2741, and Z<SUB>0</SUB>=0.0149. The solar system and photospheric abundance tables are used to compute self-consistent sets of condensation temperatures for all elements.",Solar System Abundances and Condensation Temperatures of the Elements
523,"A state of a composite quantum system is called classically correlated if it can be approximated by convex combinations of product states, and Einstein-Podolsky-Rosen correlated otherwise. Any classically correlated state can be modeled by a hidden-variable theory and hence satisfies all generalized Bell's inequalities. It is shown by an explicit example that the converse of this statement is false.",Quantum states with Einstein-Podolsky-Rosen correlations admitting a hidden-variable model
524,,"Exchange and correlation in atoms, molecules, and solids by the spin-density-functional formalism"
525,"Enhancement of polarization and related properties in heteroepitaxially constrained thin films of the ferroelectromagnet, BiFeO<SUB>3</SUB>, is reported. Structure analysis indicates that the crystal structure of film is monoclinic in contrast to bulk, which is rhombohedral. The films display a room-temperature spontaneous polarization (50 to 60 microcoulombs per square centimeter) almost an order of magnitude higher than that of the bulk (6.1 microcoulombs per square centimeter). The observed enhancement is corroborated by first-principles calculations and found to originate from a high sensitivity of the polarization to small changes in lattice parameters. The films also exhibit enhanced thickness-dependent magnetism compared with the bulk. These enhanced and combined functional responses in thin film form present an opportunity to create and implement thin film devices that actively couple the magnetic and ferroelectric order parameters.",Epitaxial BiFeO<SUB>3</SUB> Multiferroic Thin Film Heterostructures
526,"A new technique, deep-level transient spectroscopy (DLTS), is introduced. This is a high-frequency capacitance transient thermal scanning method useful for observing a wide variety of traps in semiconductors. The technique is capable of displaying the spectrum of traps in a crystal as positive and negative peaks on a flat baseline as a function of temperature. It is sensitive, rapid, and easy to analyze. The sign of the peak indicates whether the trap is near the conduction or valence band, the height of the peak is proportional to the trap concentration, and the position, in temperature, of the peak is uniquely determined by the thermal emission properties of the trap. In addition, one can measure the activation energy, concentration profile, and electron- and hole-capture cross sections for each trap. The technique is presented with a simple theoretical analysis for the case of exponential capacitance transients. Various traps in GaAs are used as examples to illustrate certain features of the DLTS technique. Finally, a critical comparison is made with other recent capacitance techniques.",Deep-level transient spectroscopy: A new method to characterize traps in semiconductors
527,"The subject of this paper is the evolution of Brownian particles in disordered environments. The “Ariadne's clew” we follow is understanding of the general statistical mechanisms which may generate “anomalous” (non-Brownian) diffusion laws; this allows us to develop simple arguments to obtain a qualitative (but often quite accurate) picture of most situations. Several analytical techniques-such as the Green function formalism and renormalization group methods-are also exposed. Care is devoted to the problem of sample to sample fluctuations, particularly acute here. We consider the specific effects of a bias on anomalous diffusion, and discuss the generalizations of Einstein's relation in the presence of disorder. An effort is made to illustrate the theoretical models by describing many physical situations where anomalous diffusion laws have been-or could be-observed.","Anomalous diffusion in disordered media: Statistical mechanisms, models and physical applications"
528,,Self-organized criticality
529,"We present a fast Markov chain Monte Carlo exploration of cosmological parameter space. We perform a joint analysis of results from recent cosmic microwave background (CMB) experiments and provide parameter constraints, including Ď<SUB>8</SUB>, from the CMB independent of other data. We next combine data from the CMB, HST Key Project, 2dF galaxy redshift survey, supernovae type Ia and big-bang nucleosynthesis. The Monte Carlo method allows the rapid investigation of a large number of parameters, and we present results from 6 and 9 parameter analyses of flat models, and an 11 parameter analysis of non-flat models. Our results include constraints on the neutrino mass (m<SUB>Î˝</SUB>ă~0.3 eV), equation of state of the dark energy, and the tensor amplitude, as well as demonstrating the effect of additional parameters on the base parameter constraints. In a series of appendixes we describe the many uses of importance sampling, including computing results from new data and accuracy correction of results generated from an approximate method. We also discuss the different ways of converting parameter samples to parameter constraints, the effect of the prior, assess the goodness of fit and consistency, and describe the use of analytic marginalization over normalization parameters.",Cosmological parameters from CMB and other data: A Monte Carlo approach
530,An effective absorption cross section per hydrogen atom has been calculated as a function of energy in the 0.03-10 keV range using the most recent atomic cross section and cosmic abundance data. Coefficients of a piecewise polynomial fit to the numerical results are given to allow convenient application in automated calculations.,"Interstellar photoelectric absorption cross sections, 0.03-10 keV."
531,"In this paper, the variation of the intrinsic domain magnetization of a ferromagnetic with the external magnetic field, is obtained. The basis of the treatment is the exchange interaction model amplified by explicit consideration of the dipole-dipole interaction between the atomic magnets. Approximations appropriate to low temperatures and equivalent to those used by Bloch in his derivation of the T<SUP>1</SUP> law, are introduced. The resultant expression for the intrinsic volume susceptibility decreases slowly with increasing field; at high fields the functional dependence is as the inverse square root of the field. The variation with temperature is linear; at room temperature and for fields of about 4000 gauss, the order of magnitude of the (volume) susceptibility is 10<SUP>-4</SUP>. The results are compared with experiment and satisfactory agreement is found.",Field Dependence of the Intrinsic Domain Magnetization of a Ferromagnet
532,,The Piecewise Parabolic Method (PPM) for Gas-Dynamical Simulations
533,"We use numerical simulations to examine the substructure within galactic and cluster mass halos that form within a hierarchical universe. Clusters are easily reproduced with a steep mass spectrum of thousands of substructure clumps that closely matches the observations. However, the survival of dark matter substructure also occurs on galactic scales, leading to the remarkable result that galaxy halos appear as scaled versions of galaxy clusters. The model predicts that the virialized extent of the Milky Way's halo should contain about 500 satellites with circular velocities larger than the Draco and Ursa Minor systems, i.e., bound masses ă~10<SUP>8</SUP> M<SUB>solar</SUB> and tidally limited sizes ă~1 kpc. The substructure clumps are on orbits that take a large fraction of them through the stellar disk, leading to significant resonant and impulsive heating. Their abundance and singular density profiles have important implications for the existence of old thin disks, cold stellar streams, gravitational lensing, and indirect/direct detection experiments.",Dark Matter Substructure within Galactic Halos
534,"Ballistic point contacts, defined in the two-dimensional electron gas of a GaAs-AlGaAs heterostructure, have been studied in zero magnetic field. The conductance changes in quantized steps of e<SUP>2</SUP>/ĎÄ§ when the width, controlled by a gate on top of heterojunction, is varied. Up to sixteen steps are observed when the point contact is widened from 0 to 360 nm. An explanation is proposed, which assumes quantized transverse momentum in the point-contact region.",Quantized conductance of point contacts in a two-dimensional electron gas
535,"Burstein and Heiles (1978) have reported the discovery of a new and potentially accurate method for predicting line-of-sight reddening in the galaxy. The present investigation is concerned with an assessment of the accuracy of this method, taking into account a comparison of its reddening predictions to those of two independent and highly accurate methods, including the uvby-beta photometry of early-type stars and the strong absorption line-strength-color relationship for the integrated spectra of elliptical galaxies. On the basis of the results of the investigation, it is concluded that a reasonable estimate of the relative accuracy of the H I/galaxy counts method reported by Burstein and Heiles is 0.01 mag in E(B-V) or 10% of the reddening, whichever is larger.",Reddenings derived from H I and galaxy counts : accuracy and maps.
536,"A relation for the variation of the energy gap ( E<SUB>g</SUB>) with temperature ( T) in semiconductors is proposed. E<SUB>g</SUB> ≐ E<SUB>0</SUB> - αT<SUP>2</SUP>/( T+ β) where α and β are constants. The equation satisfactorily represents the experimental data for diamond, Si, Ge, 6H-SiC, GaAs, InP and InAs.",Temperature dependence of the energy gap in semiconductors
537,"At luminosities above 1011 luminosity of sun), infrared galaxies become the dominant population of extragalactic objects in the local Universe (z {approximately less than} 0.3), being more numerous than optically selected starburst and Seyfert galaxies and quasi-stellar objects at comparable bolometric luminosity. The trigger for the intense infrared emission appears to be the strong interaction/merger of molecular gas-rich spirals, and the bulk of the infrared luminosity for all but the most luminous objects is due to dust heating from an intense starburst within giant molecular clouds. At the highest luminosities (Lir {greater than} 1012 luminosity of sun ), nearly all objects appear to be advanced mergers powered by a mixture of circumnuclear starburst and active galactic nucleus energy sources, both of which are fueled by an enormous concentration of molecular gas that has been funneled into the merger nucleus. These ultraluminous infrared galaxies may represent an important stage in the formation of quasi-stellar objects and powerful radio galaxies. They may also represent a primary stage in the formation of elliptical galaxy cores, the formation of globular clusters, and the metal enrichment of the intergalactic medium.",Luminous Infrared Galaxies
538,"It is pointed out that the alloy system Al(x)Ga(1-x)As/GaAs is potentially of great importance for many high-speed electronics and optoelectronic devices, because the lattice parameter difference between GaAs and Al(x)Ga(1-x)As (x in the range from 0 to 1.0) is very small (less than 0.15 percent at 300 K), which promises an insignificant concentration of undesirable interface states. A suitable interpolation scheme is needed to obtain reliable values for the material parameters over the entire range of alloy composition. Difficulties arise in connection with material parameters, such as lattice thermal conductivity, which exhibit strong nonlinearity or discontinuity with respect to alloy composition. The present paper has the objective to obtain various material parameters of Al(x)Ga(1-x)As alloy based on the interpolation scheme, taking into account the acceptability of such interpolated parameters from an aspect of solid-state physics. Attention is given to key properties of the material parameters for a variety of fundamental research and device applications.","GaAs, AlAs, and Al<SUB>x</SUB>Ga<SUB>1 - x</SUB>As Material parameters for use in research and device applications"
539,"We develop a formalism for computing sums over random surfaces which arise in all problems containing gauge invariance (like QCD, three-dimensional Ising model etc.). These sums are reduced to the exactly solvable quantum theory of the two-dimensional Liouville lagrangian. At D = 26 the string dynamics is that of harmonic oscillators as was predicted earlier by dual theorists, otherwise it is described by the nonlinear integrable theory.",Quantum geometry of bosonic strings
540,"The structure of the electronic energy bands and Brillouin zones for graphite is developed using the ""tight binding"" approximation. Graphite is found to be a semi-conductor with zero activation energy, i.e., there are no free electrons at zero temperature, but they are created at higher temperatures by excitation to a band contiguous to the highest one which is normally filled. The electrical conductivity is treated with assumptions about the mean free path. It is found to be about 100 times as great parallel to as across crystal planes. A large and anisotropic diamagnetic susceptibility is predicted for the conduction electrons; this is greatest for fields across the layers. The volume optical absorption is accounted for.",The Band Theory of Graphite
541,The Bekenstein-Hawking area-entropy relation S<SUB>BH</SUB> = A/(4) is derived for a class of five-dimensional extremal black holes in string theory by counting the degeneracy of BPS soliton bound states.,Microscopic origin of the Bekenstein-Hawking entropy
542,"Several improvements of the tetrahedron method for Brillouin-zone integrations are presented. (1) A translational grid of k points and tetrahedra is suggested that renders the results for insulators identical to those obtained with special-point methods with the same number of k points. (2) A simple correction formula goes beyond the linear approximation of matrix elements within the tetrahedra and also improves the results for metals significantly. For a required accuracy this reduces the number of k points by orders of magnitude. (3) Irreducible k points and tetrahedra are selected by a fully automated procedure, requiring as input only the space-group operations. (4) The integration is formulated as a weighted sum over irreducible k points with integration weights calculated using the tetrahedron method once for a given band structure. This allows an efficient use of the tetrahedron method also in plane-wave-based electronic-structure methods.",Improved tetrahedron method for Brillouin-zone integrations
543,"This is a tutorial review on the Potts model aimed at bringing out in an organized fashion the essential and important properties of the standard Potts model. Emphasis is placed on exact and rigorous results, but other aspects of the problem are also described to achieve a unified perspective. Topics reviewed include the mean-field theory, duality relations, series expansions, critical properties, experimental realizations, and the relationship of the Potts model with other lattice-statistical problems.",The Potts model
544,,Stable isotopes in precipitation
545,,Cosmic separation of phases
546,"Character tables for the ""group of the wave vector"" at certain points of symmetry in the Brillouin zone are given. The additional degeneracies due to time reversal symmetry are indicated. The form of energy vs wave vector at these points of symmetry is derived. A possible reason for the complications which may make a simple effective mass concept invalid for some crystals of this type structure will be presented.",Spin-Orbit Coupling Effects in Zinc Blende Structures
547,"A description of normalized distributions (measures) lying upon possibly fractal sets is proposed, for example those arising in dynamical systems theory. The scaling properties of such measures are focused upon, by considering their singularities, which are characterized by two indices: alpha, which determines the strength of their singularities; and f, which describes how densely they are distributed. The spectrum of singularities is described by giving the possible range of alpha values and the function f(alpha). This formalism is applied to the 2 exp infinity cycle of period doubling, to the devil's staircase of mode locking, and to trajectories on 2-tori with golden-mean winding numbers. In all cases the new formalism allows an introduction of smooth functions to characterize the measures. It is believed that this formalism is readily applicable to experiments and should result in new tests of global universality.",Fractal measures and their singularities: The characterization of strange sets
